ID,Drinker.yes,Drinker.no
1,4,
2,0,
3,2,
4,4,
5,2,
6,2,
7,8,
8,4,
9,40,
10,,8
11,8,
12,8,
13,8,
14,1,
15,4,
16,8,
17,2,
18,8,
19,,8
20,,2
21,,8
22,1,
23,40,
24,4,
25,8,
26,7,
27,1,
28,4,
29,8,
30,2,
31,8,
32,,8
33,,4
34,,8
35,2,
36,1,
37,8,
38,4,
39,,8
40,4,
41,,2
42,,4
43,4,
44,8,
45,2,
46,,3
47,3,
48,4,
49,8,
50,32,
51,0,
52,,0
53,,2
54,,2
55,0,
56,0,
57,,3
58,3,
59,0,
60,,1
61,3,
62,4,
63,3,
64,,3
65,0,
66,,1
67,3,
68,,3
69,,3
70,,2
71,,2
72,5,
73,8,
74,,3
75,16,
76,8,
77,,2
78,8,
79,1,
80,3,
81,1,
82,,1
83,8,
84,,8
85,5,
86,32,
87,,8
88,40,
89,,1
90,8,
91,,3
92,,8
93,,3
94,4,
95,,1
96,,3
97,24,
98,3,
99,,1
100,,64
101,2,
102,,8
103,,2
104,8,
105,,56
106,8,
107,,3
108,3,
109,,2
110,8,
111,,2
112,8,
113,,2
114,,1
115,,1
116,,1
117,8,
118,,2
119,,2
120,,2
121,,1
122,,2
123,,2
124,,2
125,,2
126,,2
127,,2
128,,2
129,,2
130,,8
131,8,
132,,2
133,,2
134,,2
135,,0
136,,1
137,3,
138,,1
139,8,
140,8,
141,2,
142,,8
143,2,
144,8,
145,,8
146,,8
147,,2
148,,2
149,,1
150,,8
151,,3
152,,8
153,,1
154,,1
155,,8
156,2,
157,8,
158,3,
159,,8
160,8,
161,8,
162,,8
163,,3
164,40,
165,,40
166,16,
167,16,
168,8,
169,8,
170,,8
171,4,
172,,1
173,8,
174,24,
175,,2
176,,8
177,,1
178,,8
179,,16
180,3,
181,16,
182,,2
183,,3
184,,1
185,1,
186,,1
187,1,
188,24,
189,1,
190,,2
191,4,
192,24,
193,1,
194,3,
195,8,
196,1,
197,,8
198,56,
199,8,
200,24,
201,,8
202,16,
203,,3
204,,0
205,8,
206,2,
207,1,
208,8,
209,,8
210,,4
211,2,
212,1,
213,24,
214,0,
215,,0
216,,0
217,,0
218,1,
219,24,
220,8,
221,8,
222,8,
223,24,
224,4,
225,8,
226,8,
227,4,
228,8,
229,8,
230,,16
231,1,
232,80,
233,,8
234,2,
235,,2
236,,2
237,16,
238,8,
239,,8
240,,4
241,,8
242,,8
243,2,
244,,8
245,,8
246,3,
247,8,
248,8,
249,8,
250,32,
251,8,
252,0,
253,8,
254,3,
255,1,
256,,8
257,1,
258,2,
259,4,
260,4,
261,,1
262,,8
263,,1
264,3,
265,,2
266,,1
267,1,
268,,8
269,8,
270,,8
271,8,
272,3,
273,24,
274,0,
275,16,
276,3,
277,0,
278,0,
279,8,
280,32,
281,1,
282,4,
283,4,
284,8,
285,1,
286,0,
287,3,
288,40,
289,8,
290,8,
291,,4
292,8,
293,8,
294,0,
295,,0
296,,8
297,,3
298,8,
299,1,
300,,64
301,0,
302,16,
303,3,
304,0,
305,2,
306,2,
307,1,
308,4,
309,,16
310,1,
311,8,
312,0,
313,0,
314,0,
315,,5
316,,5
317,1,
318,,8
319,,2
320,8,
321,3,
322,1,
323,,8
324,120,
325,8,
326,,0
327,,1
328,,3
329,,2
330,3,
331,8,
332,4,
333,8,
334,1,
335,8,
336,8,
337,,0
338,0,
339,1,
340,,3
341,2,
342,1,
343,,3
344,1,
345,4,
346,8,
347,1,
348,1,
349,,1
350,,8
351,,2
352,1,
353,8,
354,,4
355,8,
356,2,
357,3,
358,8,
359,,5
360,,32
361,2,
362,,1
363,4,
364,8,
365,8,
366,8,
367,4,
368,1,
369,1,
370,,2
371,3,
372,,1
373,3,
374,3,
375,3,
376,2,
377,3,
378,8,
379,8,
380,3,
381,,8
382,3,
383,2,
384,2,
385,16,
386,3,
387,3,
388,24,
389,3,
390,3,
391,,8
392,16,
393,2,
394,4,
395,2,
396,,8
397,,8
398,,8
399,16,
400,8,
401,0,
402,,8
403,2,
404,3,
405,8,
406,,0
407,0,
408,0,
409,8,
410,8,
411,8,
412,2,
413,4,
414,3,
415,,4
416,4,
417,,4
418,,8
419,8,
420,1,
421,120,
422,8,
423,4,
424,4,
425,,2
426,16,
427,,2
428,8,
429,,3
430,4,
431,1,
432,3,
433,,2
434,,3
435,,8
436,,3
437,,8
438,,2
439,,1
440,,8
441,,3
442,,3
443,3,
444,,2
445,,4
446,4,
447,0,
448,40,
449,24,
450,3,
451,4,
452,8,
453,2,
454,,2
455,2,
456,8,
457,,2
458,2,
459,,1
460,,8
461,,2
462,,4
463,8,
464,,8
465,,8
466,,8
467,4,
468,,8
469,8,
470,,1
471,2,
472,,112
473,1,
474,1,
475,8,
476,8,
477,8,
478,2,
479,1,
480,2,
481,4,
482,,1
483,4,
484,,4
485,8,
486,8,
487,4,
488,4,
489,,8
490,,16
491,,4
492,1,
493,,5
494,2,
495,3,
496,1,
497,1,
498,,3
499,2,
500,2,
501,,8
502,,1
503,4,
504,,1
505,,2
506,8,
507,8,
508,,1
509,,3
510,8,
511,,3
512,2,
513,,2
514,,2
515,1,
516,,2
517,8,
518,3,
519,,4
520,8,
521,3,
522,,1
523,1,
524,8,
525,,1
526,8,
527,,3
528,,8
529,,8
530,,8
531,,0
532,,3
533,1,
534,,3
535,,24
536,1,
537,,8
538,8,
539,,8
540,,4
541,8,
542,2,
543,,2
544,,3
545,1,
546,,8
547,,8
548,,2
549,0,
550,0,
551,,4
552,0,
553,,2
554,8,
555,2,
556,32,
557,1,
558,,3
559,,1
560,,3
561,,3
562,4,
563,,2
564,8,
565,8,
566,,16
567,,2
568,,3
569,,2
570,80,
571,,24
572,,16
573,,2
574,,2
575,,3
576,,2
577,,8
578,,3
579,,2
580,8,
581,,2
582,3,
583,8,
584,3,
585,2,
586,8,
587,,3
588,,8
589,2,
590,,3
591,2,
592,,2
593,2,
594,2,
595,2,
596,2,
597,,8
598,3,
599,3,
600,,3
601,,2
602,,2
603,3,
604,3,
605,,2
606,2,
607,8,
608,2,
609,5,
610,,3
611,2,
612,,2
613,2,
614,,2
615,,2
616,2,
617,2,
618,,2
619,2,
620,,2
621,,3
622,,3
623,,112
624,2,
625,,2
626,3,
627,,2
628,,3
629,,3
630,8,
631,8,
632,2,
633,3,
634,,2
635,4,
636,,2
637,3,
638,,8
639,2,
640,8,
641,,2
642,2,
643,,3
644,3,
645,,2
646,3,
647,3,
648,8,
649,24,
650,3,
651,3,
652,,2
653,104,
654,8,
655,,8
656,,8
657,8,
658,,8
659,,8
660,,2
661,24,
662,,2
663,3,
664,2,
665,,2
666,,8
667,,2
668,,8
669,,3
670,,2
671,4,
672,,8
673,2,
674,,2
675,,8
676,3,
677,,2
678,,3
679,8,
680,,1
681,2,
682,8,
683,64,
684,8,
685,,2
686,2,
687,3,
688,,1
689,0,
690,,2
691,,0
692,,1
693,48,
694,,8
695,8,
696,,8
697,,3
698,,8
699,,2
700,2,
701,,2
702,8,
703,2,
704,,8
705,8,
706,,1
707,8,
708,,3
709,,8
710,,8
711,,8
712,24,
713,8,
714,,2
715,,0
716,,0
717,3,
718,,2
719,2,
720,,3
721,,3
722,8,
723,,2
724,,3
725,3,
726,4,
727,2,
728,,8
729,,4
730,,120
731,,16
732,,2
733,8,
734,,8
735,80,
736,8,
737,,4
738,0,
739,0,
740,,0
